name,link
Akamai,http://www.akamai.com
Alibaba Cloud,https://www.alibabacloud.com/
Alit testing Cloud,https://www.service.nsw.gov.au/
Amazon EKS,https://aws.amazon.com/eks
Amazon Web Services,http://aws.amazon.com
AppHarbor,http://appharbor.com
Apptio,NULL
Azure Kubernetes Service,https://azure.microsoft.com/en-au/services/kubernetes-service/
Bit Refinery,http://bitrefinery.com
Bitglass,https://www.bitglass.com/
BlueLock,http://bluelock.com
Box,https://www.box.com
Brightbox,http://www.brightbox.co.uk/a/7rt41
Broadcom,https://www.broadcom.com/
CacheFly,http://www.shareasale.com/r.cfm?B=30596&U=420728&M=7037
CDN77,http://www.cdn77.com
CDNsun,http://cdnsun.com
Cedexis,http://www.cedexis.com
CenturyLink Cloud,https://www.ctl.io
ChinaCache,http://www.chinacache.com
City Cloud,https://www.citycloud.com
Cloudant,http://cloudant.com
CloudCheckr,NULL
cloudControl,https://www.cloudcontrol.com
CloudFlare,http://www.cloudflare.com
CloudfloorDNS,http://www.cloudfloordns.com
Cloudhelix,http://cloudhelix.net
Cloudways,http://cloudways.com
Collibra,https://www.collibra.com/
connect.com.au,http://connect.com.au
Crucial Cloud Hosting,http://www.crucial.com.au
CyrusOne,https://cyrusone.com/
dediserve,http://www.dediserve.com
Digital Realty Trust,https://www.digitalrealty.com/
DigitalOcean,http://www.digitalocean.com
DNS Made Easy,http://www.dnsmadeeasy.com/u/63643
dotcloud,http://www.dotcloud.com
Dynomesh,http://www.dynomesh.com.au
e24cloud.com,https://www.e24cloud.com
eApps,http://www.eapps.com
Easy DNS,https://www.easydns.com
Engine Yard,http://www.engineyard.com
Equinix,https://www.equinix.com/
Exoscale,http://www.exoscale.ch
Faction,http://www.factioninc.com
Fastly,http://www.fastly.com
Flexera,NULL
GMO Cloud,http://www.gmocloud.com
Google Cloud Platform,https://cloud.google.com
Google Drive,https://www.google.com/drive/
Google Kubernetes Engine,https://cloud.google.com/kubernetes-engine
Heroku,https://heroku.com
Highwinds,http://www.highwinds.com
Hosting.com,http://hosting.com
IBM,https://www.ibm.com
IBM Cloud,https://www.ibm.com/cloud
IDC Frontier,http://www.idcf.jp/english/cloud/
Incapsula,http://www.incapsula.com
KeyCDN,http://www.keycdn.com
KT,https://ucloudbiz.olleh.com
Level 3,http://www.level3.com
Limelight Networks,https://www.limelight.com
Linode,https://www.linode.com/?r=e5a2077cb15ab9e5431e91219aa5fc4b9cdba5e4
Liquid Web STORM,https://www.liquidweb.com/?RID=cloudharmony
Lunacloud,http://www.lunacloud.com
M9 Systems,http://www.m9systems.com
McAfee,https://www.mcafee.com/en-us/index.html
Microsoft,https://www.microsoft.com
Microsoft Azure,https://azure.microsoft.com
NetHosting,http://www.nethosting.com
Netskope,https://www.netskope.com/
Neustar,https://www.neustar.biz
NGN Cloud,https://www.ngn.com.tr/en/ngn-cloud
NS1,https://ns1.com
Nutanix,https://www.nutanix.com/
Oktawave,http://www.oktawave.com
Omada,https://www.omada.net/en-us
One Identity,https://www.oneidentity.com
Oracle Cloud Infrastructure,https://cloud.oracle.com/cloud-infrastructure
OrionVM,http://www.orionvm.com
Phoenix NAP,http://www.phoenixnap.com
Qlik,https://www.qlik.com
QTS,http://www.qtsdatacenters.com
Rage4 Networks,http://rage4.com
SailPoint,https://www.sailpoint.com/
Salesforce.com,http://www.salesforce.com/platform/
Saviynt,https://saviynt.com/
SiteHost,http://www.sitehost.co.nz/
Speedyrails,http://www.speedyrails.com
StratoGen,http://www.stratogen.com/products/vmware-hosting.html
SwiftServe,http://www.swiftserve.com
Symantec,https://symantec.com
Tableau,https://www.tableau.com
Tencent Cloud,https://intl.cloud.tencent.com
ThoughtSpot,https://www.thoughtspot.com
Turbobytes,http://www.turbobytes.com
Turbonomic,NULL
UpCloud,https://www.upcloud.com
Vault Networks,https://www.vaultnetworks.com
Verizon Digital Media Services,https://www.verizondigitalmedia.com
VMware,https://www.vmware.com
Vultr,https://www.vultr.com
zettagrid,http://www.zettagrid.com
